Dataset,NetworkName,Encoding,1st Hidden Units,2nd Hidden Units,3rd Hidden Units,Window Size,Padding,Batch Size,LR,Epochs,ML_Dataset,True Positives,False Positives,True Negatives,False Negatives,Accuracy,Recall,Precision,Specificity,F1 score,AUROC,Test Run Time (s),Train time (s)
RefSeq,LSTMNet_RefSeq_One_hot_2_256_3_64_0,One_hot,21,256,64,3,0,512,0.001,10,Train,[233449  88547  87090  98990  93167  21817  26572  34563  77490],[ 3706 26898  3011    62  1026    55    68   215    91],[531845 679072 705576 696957 699941 774921 770166 762030 718896],[27817  2300  1140   808  2683    24    11     9   340],"[0.96043885 0.96335671 0.99479052 0.99890816 0.99534523 0.99990086
 0.99990086 0.99971888 0.9994591 ]","[0.89352997 0.97468271 0.98707922 0.99190365 0.97200835 0.99890115
 0.9995862  0.99973967 0.9956315 ]","[0.98437309 0.76700593 0.96658195 0.99937407 0.98910747 0.99748537
 0.99744745 0.99381793 0.99882703]","[0.99308002 0.96189923 0.9957507  0.99991105 0.99853631 0.99992903
 0.99991172 0.99971794 0.99987343]","[0.93675427 0.85846276 0.97672306 0.99562484 0.98048336 0.99819276
 0.99851568 0.99677001 0.99722671]",0.9990022418,106.6934292,2612.231022
RefSeq,LSTMNet_RefSeq_One_hot_2_256_3_64_0,One_hot,21,256,64,3,0,512,0.001,10,Validation,[54355 14523  4697   368  3033   301   555  1037   469],[91414 25609  3646   360  3703   144   144   305   316],[ 48033 158106 178393 189498 185972 190886 198119 180657 184527],[11177  6741 18243 14753 12271 13648  6161 22980 19667],"[0.49950483 0.84217895 0.89321345 0.9262705  0.92207007 0.93271506
 0.96924075 0.886403   0.90251196]","[0.8294421  0.68298533 0.20475153 0.02433701 0.19818348 0.02157861
 0.08263848 0.04317775 0.02329162]","[0.3728845  0.36188079 0.56298694 0.50549451 0.45026722 0.67640449
 0.79399142 0.77272727 0.59745223]","[0.34445345 0.86060474 0.97997132 0.99810385 0.98047713 0.99924619
 0.99927369 0.99831456 0.99829044]","[0.51447934 0.47309271 0.30029089 0.04643826 0.27522686 0.04182298
 0.14969656 0.08178556 0.04483533]",0.7804204403,25.10417843,2612.231022
RefSeq,LSTMNet_RefSeq_One_hot_2_256_3_64_0,One_hot,21,256,64,3,0,512,0.001,10,Test,[44062 18461  9804  4073  4076  8214  2429  2028  3492],[97374 23688  4152   410  1562   225   174   159   379],[ 75768 179861 196480 205069 200645 204149 201835 204550 201616],[ 7558  2752 14326 15210 18479 12174 20324 18025 19275],"[0.53314172 0.88236446 0.91778859 0.93050427 0.91083457 0.94483498
 0.90880131 0.91909664 0.91255639]","[0.85358388 0.87026823 0.40629921 0.21122232 0.18071381 0.40288405
 0.10675515 0.101132   0.15337989]","[0.31153313 0.43799378 0.70249355 0.90854339 0.7229514  0.97333807
 0.93315405 0.92729767 0.90209248]","[0.43760613 0.88362507 0.97930539 0.99800466 0.99227524 0.99889908
 0.99913865 0.99922329 0.99812372]","[0.45646859 0.58271519 0.51483485 0.34275856 0.28914979 0.5698824
 0.19159173 0.1823741  0.26218185]",0.8516060174,27.82577157,2612.231022
RefSeq,CNNLSTMNet_RefSeq_One_hot_2_256_3_64_0,One_hot,21,256,64,3,0,512,0.001,10,Train,[257137  80039  87358  99760  93500  21841  26571  34567  77823],[10799  2122  3210   218  1052    66   137   278   339],[524752 703848 705377 696801 699915 774910 770097 761967 718648],[ 4129 10808   872    38  2350     0    12     5     7],"[0.98126546 0.98377294 0.99487712 0.99967872 0.99573051 0.99991717
 0.99981301 0.99964484 0.99956577]","[0.98419618 0.88103074 0.99011674 0.99961923 0.97548252 1.
 0.99954858 0.99985537 0.99991006]","[0.9596956  0.97417266 0.96455702 0.99781952 0.98887385 0.99698726
 0.99487045 0.99202181 0.99566285]","[0.97983572 0.99699421 0.99546986 0.99968724 0.99849922 0.99991484
 0.99982213 0.99963529 0.9995285 ]","[0.97179149 0.92526357 0.97716977 0.99871856 0.98213254 0.99849136
 0.99720403 0.99592319 0.99778194]",0.9995803454,100.2897351,2462.174814
RefSeq,CNNLSTMNet_RefSeq_One_hot_2_256_3_64_0,One_hot,21,256,64,3,0,512,0.001,10,Validation,[62082  9901  5150  1221  2516   327   457   868  1476],[105694   4151   4806   1203   3346    229    676    274    602],[ 33753 179564 177233 188655 186329 190801 197587 180688 184241],[ 3450 11363 17790 13900 12788 13622  6259 23149 18660],"[0.4675357  0.9243142  0.88976432 0.92631928 0.9212895  0.93242722
 0.96616727 0.88572976 0.9060294 ]","[0.94735396 0.46562265 0.22449869 0.08074863 0.16440146 0.02344254
 0.06804646 0.03614107 0.07330155]","[0.37002909 0.70459721 0.51727601 0.50371287 0.42920505 0.5881295
 0.40335393 0.76007005 0.71029836]","[0.24204895 0.97740522 0.97359906 0.99366369 0.9823593  0.99880124
 0.99659039 0.99848587 0.99674318]","[0.53218921 0.56070903 0.31310798 0.13918495 0.23773977 0.0450879
 0.11644796 0.06900115 0.13288917]",0.809667338,23.54990363,2462.174814
RefSeq,CNNLSTMNet_RefSeq_One_hot_2_256_3_64_0,One_hot,21,256,64,3,0,512,0.001,10,Test,[47982 15505 10331  5015  5011  8957  3581  2428  4578],[107827   3512   5346   1054   1950    244    532    170    739],[ 65315 200037 195286 204425 200257 204130 201477 204539 201256],[ 3638  5708 13799 14268 17544 11431 19172 17625 18189],"[0.50407542 0.95897883 0.91482101 0.93183011 0.91326826 0.94805617
 0.91233394 0.92082736 0.91578648]","[0.92952344 0.73091972 0.42813925 0.26007364 0.22216803 0.43932706
 0.15738584 0.12107914 0.20108051]","[0.30795397 0.81532313 0.65899088 0.82633053 0.71986784 0.97348114
 0.87065402 0.93456505 0.86101185]","[0.37723372 0.98274617 0.9733542  0.99487052 0.99035642 0.99880611
 0.99736645 0.99916955 0.99634149]","[0.46263541 0.7708178  0.51905444 0.39562954 0.33954465 0.60542769
 0.2665823  0.21438347 0.32602193]",0.8680373222,25.82349968,2462.174814
RefSeq,CNNNet_RefSeq_One_hot_2_256_3_64_0,One_hot,21,256,64,3,0,512,0.001,10,Train,[211180  44991  71310  99390  92453  21334  26574  29430  74504],[59221 18340  9736  9876 16547   630  3600  1257  6444],[476330 687630 698851 687143 684420 774346 766634 760988 712543],[50086 45856 16920   408  3397   507     9  5142  3326],"[0.86282045 0.91943445 0.9665469  0.98709365 0.97497041 0.99857307
 0.99547073 0.9919693  0.98773872]","[0.80829499 0.49523925 0.80822849 0.99591174 0.96455921 0.97678678
 0.99966144 0.85126692 0.95726584]","[0.78098824 0.71041038 0.87987069 0.90961507 0.84819266 0.9713167
 0.88069199 0.95903803 0.92039334]","[0.88942043 0.97402156 0.98625998 0.98583109 0.97639404 0.99918707
 0.9953261  0.99835092 0.99103739]","[0.79440703 0.58362412 0.84252936 0.95080932 0.90264096 0.97404406
 0.93641313 0.90194456 0.93846755]",0.9819708593,43.84774017,631.9611888
RefSeq,CNNNet_RefSeq_One_hot_2_256_3_64_0,One_hot,21,256,64,3,0,512,0.001,10,Validation,[51586  9394  8924  4957  8624  1080  1037  3252  8065],[57043  7299 11673  7534 15080   848  3416   644  4523],[ 82404 176416 170366 182324 174595 190182 194847 180318 180320],[13946 11870 14016 10164  6680 12869  5679 20765 12071],"[0.65367672 0.9064831  0.87467497 0.91365945 0.89384278 0.93308095
 0.9556296  0.89555515 0.91904537]","[0.78718794 0.44177953 0.38901482 0.32782223 0.56351281 0.07742491
 0.15440739 0.13540409 0.40052642]","[0.4748824  0.56275085 0.43326698 0.39684573 0.36382045 0.56016598
 0.23287671 0.83470226 0.64068955]","[0.59093419 0.96026998 0.93587638 0.96031771 0.92049558 0.99556091
 0.98277036 0.99644124 0.97553059]","[0.59239439 0.49498116 0.40995016 0.35904679 0.44216571 0.13604585
 0.18569254 0.23300971 0.4929104 ]",0.8416256377,7.716609716,631.9611888
RefSeq,CNNNet_RefSeq_One_hot_2_256_3_64_0,One_hot,21,256,64,3,0,512,0.001,10,Test,[33197 10439 11819  8482 15322 10545  8154  5422 10519],[61202  7080 12539  7712 13981  1267  2033   542  4507],[111940 196469 188093 197767 188226 203107 199976 204167 197488],[18423 10774 12311 10801  7233  9843 14599 14631 12248],"[0.64573638 0.92056486 0.88943861 0.91763287 0.90561572 0.95056994
 0.92600173 0.93249304 0.92545448]","[0.64310345 0.4921039  0.48980522 0.43986931 0.67931722 0.51721601
 0.35837032 0.27038348 0.46202837]","[0.35166686 0.59586734 0.48522046 0.52377424 0.52288162 0.8927362
 0.80043192 0.9091214  0.70005324]","[0.64652135 0.96521722 0.93750249 0.96246818 0.93085798 0.99380058
 0.98993609 0.99735234 0.97768757]","[0.45469425 0.53903749 0.48750206 0.47816895 0.59092136 0.65496894
 0.49508197 0.4168044  0.55666393]",0.8783579759,9.198057175,631.9611888
RefSeq,LSTMNet_RefSeq_One_hot_2_256_3_128_0,One_hot,21,256,128,3,0,512,0.001,10,Train,[251789  85079  86244  99598  94890  21770  26582  34503  77829],[6089 7112 1661  144 2159    3  198  249  918],[529462 698858 706926 696875 698808 774973 770036 761996 718069],[9477 5768 1986  200  960   71    1   69    1],"[0.98046477 0.98383569 0.99542304 0.99956828 0.99608568 0.99990713
 0.99975026 0.99960091 0.99884666]","[0.96372662 0.93650864 0.97749065 0.99799595 0.98998435 0.99674923
 0.99996238 0.99800417 0.99998715]","[0.97638806 0.92285581 0.9811046  0.99855628 0.97775351 0.99986221
 0.99260642 0.99283494 0.98834241]","[0.9886304  0.98992592 0.9976559  0.99979341 0.99691997 0.99999613
 0.99974294 0.99967333 0.9987232 ]","[0.97001603 0.9296321  0.97929429 0.99827603 0.98383092 0.9983033
 0.99627082 0.99541284 0.99413068]",0.9994059291,123.3750341,3227.1079
