Dataset,NetworkName,Encoding,1st Hidden Units,2nd Hidden Units,3rd Hidden Units,Window Size,Padding,Batch Size,LR,Epochs,ML_Dataset,True Positives,False Positives,True Negatives,False Negatives,Accuracy,Recall,Precision,Specificity,F1 score,AUROC,Test Run Time (s),Train time (s)
RefSeq,CNNNet_RefSeq_One_hot_2_16_3_16_0,One_hot,21,16,16,3,0,512,0.001,10,Train,[164683  39296  53275  76845  60031  13503  12798  24080  55815],[85043 29174 60727 43446 38723  6151  6545  8871 17811],[450508 676796 647860 653573 662244 768825 763689 753374 701176],[96583 51551 34955 22953 35819  8338 13785 10492 22015],"[0.77206059 0.89869067 0.87991973 0.9166697  0.90645029 0.9818164
 0.97448599 0.97569956 0.95001864]","[0.63032695 0.43255143 0.60381956 0.77000541 0.62630151 0.61824092
 0.4814355  0.69651741 0.71713992]","[0.65945476 0.57391558 0.46731636 0.63882585 0.60788424 0.68703572
 0.6616347  0.73078207 0.75808818]","[0.84120467 0.9586753  0.91429846 0.93766884 0.94475774 0.99206298
 0.99150258 0.98836201 0.97522765]","[0.64456195 0.4933058  0.52687013 0.69830841 0.61695546 0.6508254
 0.55733136 0.71323845 0.73704574]",0.9299457286073864,29.087743520736694,146.9199995994568

RefSeq,CNNNet_RefSeq_One_hot_2_16_3_16_0,One_hot,21,16,16,3,0,512,0.001,10,Validation,[41150  8793 11787  8038  8380  2087  1517  6671 11842],[31379  9283 20693 15113 13589  1679  3500  2273  7205],[108068 174432 161346 174745 176086 189351 194763 178689 177638],[24382 12471 11153  7083  6924 11862  5199 17346  8294],"[0.72796726 0.89387206 0.84463774 0.89171574 0.89992633 0.93393957
 0.95756151 0.90428776 0.92438738]","[0.6279375  0.4135158  0.51381866 0.5315786  0.54756926 0.14961646
 0.2258785  0.27776159 0.58810091]","[0.56735926 0.48644612 0.36290025 0.34719883 0.38144658 0.55416888
 0.30237194 0.74586315 0.62172521]","[0.77497544 0.94947065 0.88632656 0.9203984  0.9283564  0.9912108
 0.98234668 0.98743935 0.96102097]","[0.59611331 0.44702593 0.4253699  0.42004599 0.44965525 0.23561953
 0.25858689 0.40478141 0.60444581]",0.8631643323038924,3.712961435317993,146.9199995994568

RefSeq,CNNNet_RefSeq_One_hot_2_16_3_16_0,One_hot,21,16,16,3,0,512,0.001,10,Test,[20589  9070 13079  8722 13767  8646  9869 12240 13097],[33213  8158 26363 16538 18870  3289  1468  1552  6232],[139929 195391 174269 188941 183337 201085 200541 203157 195763],[31031 12143 11051 10561  8788 11742 12884  7813  9670],"[0.71416877 0.90967779 0.83353948 0.87943247 0.87694539 0.93312482
 0.93614579 0.9583337  0.92924961]","[0.39885703 0.427568   0.54202238 0.45231551 0.61037464 0.42407298
 0.433745   0.61038249 0.57526244]","[0.38268094 0.52646854 0.33160083 0.34528899 0.42182186 0.72442396
 0.87051248 0.887471   0.67758291]","[0.80817479 0.9599212  0.86860022 0.91951489 0.90667979 0.98390695
 0.992733   0.99241851 0.96914775]","[0.39060158 0.47189199 0.41147046 0.39162158 0.49887665 0.5349751
 0.57899677 0.72329739 0.62224439]",0.8657502945932554,4.303948402404785,146.9199995994568

RefSeq,LSTMNet_RefSeq_One_hot_2_16_3_32_0,One_hot,21,16,32,3,0,512,0.001,10,Train,[185018  21585  39170  77911  76665  16234  16469  26424  47189],[110085  11865  34193  23890  76720   7256   4997   8325  12821],[425466 694105 674394 673129 624247 767720 765237 753920 706166],[76248 69262 49060 21887 19185  5607 10114  8148 30641],"[0.76615333 0.89818616 0.89551804 0.94255017 0.87963987 0.98385702
 0.9810358  0.9793265  0.94545548]","[0.7081595  0.23759728 0.4439533  0.78068699 0.79984351 0.74328099
 0.61953128 0.76431795 0.60630862]","[0.62696076 0.64529148 0.53392037 0.76532647 0.49982071 0.6911026
 0.76721327 0.76042476 0.78635227]","[0.79444535 0.98319334 0.95174481 0.96572547 0.8905512  0.99063713
 0.99351236 0.98907831 0.98216797]","[0.66509097 0.34731329 0.48479823 0.77293042 0.61520252 0.71624275
 0.68550854 0.76236638 0.6846924 ]",0.9364352466938934,47.28290247917175,626.4775381088257

RefSeq,LSTMNet_RefSeq_One_hot_2_16_3_32_0,One_hot,21,16,32,3,0,512,0.001,10,Validation,[46823  4808  7335  5608 10449  1348  1499  5049  9306],[47217  4304 14257  8627 25646  3200  2017  2500  4986],[ 92230 179411 167782 181231 164029 187830 196246 178462 179857],[18709 16456 15605  9513  4855 12601  5217 18968 10830],"[0.67837681 0.89872133 0.85431678 0.91150313 0.85119939 0.92291405
 0.96470858 0.89526732 0.92284088]","[0.71450589 0.22610986 0.31974717 0.37087494 0.68276268 0.09663775
 0.22319833 0.21022609 0.46215733]","[0.49790515 0.52765584 0.33970915 0.39395855 0.28948608 0.29639402
 0.42633675 0.66883031 0.6511335 ]","[0.66139824 0.97657241 0.92168162 0.95456078 0.86478977 0.9832487
 0.98982664 0.98618494 0.97302576]","[0.58685734 0.31656571 0.32942603 0.3820684  0.40658379 0.14575337
 0.29300235 0.31990116 0.54060648]",0.8449234155906615,8.22634220123291,626.4775381088257

